id,author,description,clean
879,@Blitzzb,Bodoh.... boikot itu justru teroris dalam negara sedang memanfaatkan moment untuk memperburuk kondisi eķonomi dalam negeri 🤣🤣🤣🤣🤣 kalian bacod boikot² msh pke aja itu teknologinya 🤣🤣🤣🤣 byk yg tolol orang indonesia dalam menanggapi israel vs palestina... sedangkan diluar sana orang² isis yg sudah balik di indonesia pada tepuk tangan dengan aksi boikot kalian 🤣🤣🤣🤣🤣🤣🤣 ....,bodoh boikot itu justru teroris dalam negara sedang memanfaatkan moment untuk memperburuk kondisi onomi dalam negeri kalian bacod boikot msh pke aja itu teknologinya byk yg tolol orang indonesia dalam menanggapi israel vs palestina sedangkan diluar sana orang isis yg sudah balik di indonesia pada tepuk tangan dengan aksi boikot kalian
880,@G33..73,Google punya bill gates keturunan yahudi keturunan israel Whats app punya mark zucernberg orang yahudi keturuan israel Kalian bisa boikot gak ? Kita ini kaum cuma kaum gede cocot tapi gk punya keahlian wkwkwk,google punya bill gates keturunan yahudi keturunan israel whats app punya mark zucernberg orang yahudi keturuan israel kalian bisa boikot gak kita ini kaum cuma kaum gede cocot tapi gk punya keahlian wkwkwk
881,@haryjoz6115,Mang masih ampuh apa fatwa MUI,mang masih ampuh apa fatwa mui
882,@heri_ft,"kata dedi crbuzr youtube produk israel,trmasuk admin ayo tutup akun!hapus aplikasi!..",kata dedi crbuzr youtube produk israeltrmasuk admin ayo tutup akunhapus aplikasi
883,@user-ed5dl1pb7y,Hahahah dasar munafik sudah mendarah daging dalam tubuh sudah dari dulu di pake sudah dari dulu di konsumsi produk2 tersebut kenapa baru sekarang di boikot wkwkkw kadrun memang munfik,hahahah dasar munafik sudah mendarah daging dalam tubuh sudah dari dulu di pake sudah dari dulu di konsumsi produk tersebut kenapa baru sekarang di boikot wkwkkw kadrun memang munfik
884,@tambunan8218,Lahkan royko dari Indonesia kecap juga dari Indonesia,lahkan royko dari indonesia kecap juga dari indonesia
885,@hanipan38,Hah sunlight pnya israel??,hah sunlight pnya israel
886,@maulanazain1962,Klo sampe pabrik bangkrut trs mereka yg d ind mau krj dmn...dmn pikiran kalian...bukan begini crnya bro...,klo sampe pabrik bangkrut trs mereka yg ind mau krj dmndmn pikiran kalianbukan begini crnya bro
887,@Iqbalrizki123,"Gak ngaruh sih,,,! Ini mah efek gak berani satu lawan satu.mental cemen",gak ngaruh sih ini mah efek gak berani satu lawan satumental cemen
889,@ibramrulian9516,Loh oreo kan dari amerika,loh oreo kan dari amerika
890,@kikimarli4069,"Heh halo iklan indo, pembuat orang indo,ada di indo,lah terus kenapa pak Jokowi membiar kan barang itu iika itu adalah barang Israel aneh😊",heh halo iklan indo pembuat orang indoada di indolah terus kenapa pak jokowi membiar kan barang itu iika itu adalah barang israel aneh
891,@dindinriana7674,Keren semoga seumur hidup,keren semoga seumur hidup
893,@senantiasa6173,Spertinya itu bagus untuk produk lokal kenapa tidak dr dulu Ternyata produk pilihan masyarakat indo dari dulu produk israil Naas sekali produk local sampai kalah,spertinya itu bagus untuk produk lokal kenapa tidak dr dulu ternyata produk pilihan masyarakat indo dari dulu produk israil naas sekali produk local sampai kalah
894,@RES70728,"Hati"" ....takut ada org yg mencari cari atas momen ini...semata"" memang cari keuntungan pribadi dalam persaingan pasar ...",hati takut ada org yg mencari cari atas momen inisemata memang cari keuntungan pribadi dalam persaingan pasar
895,@Faozi_official,bagaimana dg nasib para karyawan pabriknyaaa...anak2 mereka ...,bagaimana dg nasib para karyawan pabriknyaaaanak mereka
