id,author,description
66,@muhmunkayy3782,Boikot itu barang menyumbang ke negara lain bukan milik negara asalnya
67,@auliaseptiana3892,He apa jangan jangan yang lu centang itu produk yang biasanya kamu beli
68,@sigibisma4716,N U DAN MUHAMMADIYAH BELUM BILANG
69,@user-xf9yr9bt9l,Gak apa apa biarin peroduk 🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱 israel juga
70,@LETS_SUPPORT_ISRAEL,Temen Gw : - Free Palestine - Mari kita boikot Gw : - lah mereka yang perang😂😂 kok gua peduli - gak mau boikot 😝😝
71,@fatimahalesha1627,Aku juga begitu kak aku ambil nya yang baik² aja
72,@marveysochiavshalom9648,Royco : indonesia sumah dah lu tuh tolol banget😂😂😂🎉🎉
73,@marveysochiavshalom9648,Inggris/ indonesia
74,@marveysochiavshalom9648,Oreo : inggris / amerika sunligth : indonesia sari wangi : indonesia bango : indonesia aqua : indonesia LUX : inggris
75,@donirita9470,loh itu kan babukan peproduk nya israel co ba kalo mau ngontet inget dulu
76,@Streamlabs145,Bang bukannya kecap abc itu produk israel juga yak
77,@dedediandi3128,"Orang goblok, itu semua produk indo tolol. Lu bayangin tuh produk dah susah susah buat maju lu malah boikot otak lu dimana anjing. Dah jelas jelas indo malah bilang produk israel. Jangan sok sok an pro palestina bangsat. Lu kira kalo boikot produk ngaruh ke perjuangan palestina. Kalo mau dukung palestina ya doain lah bukan boikot produk orang, bego. Mending report nih video daripada bocah dan emak emak pada percaya"
78,@riahartanti2782,Itu israel cuma tipu tipu itu gak haram ko emang israel jelek gak papa ko kalo beli oreo israel kan iseng aja jadi gak papa ko kalo anak nya mau beli oreo😅😮
79,@dodikristihadi8789,"gak segampang itu boikot...inget rakyat kita banyak yg jd karyawan pabrik nya...kalo d boikot, perusahaan tutup, banyak pengangguran deh."
80,@mo0neuu,daripada nge-boikot mending donasi aja.
81,@lupitasari4910,Boong itu manh😂😂
83,@bambang418,Kalo udah banyak yang percaya terus gak ada yang beli nanti pabriknya jadi bangkrut lalu anda ya kena 😅
84,@musaabdullahrasyid,Walaupun diboikot mereka pun tak Rugi malahan Karyawan Indonesia yang kerja disana Rugi
85,@user-dq7xn8sp9h,Emang bahan pembuatan dari israel ya Aku nanya bukan marah
86,@Rassah449,Produk kecap itu dari kali mantan Hoax biar kita subscribe dan Llke
87,@MrAlibana,Kalo gua gak peduli ama boikot
88,@Farahaulianisahakiki107,Masa sih aku aja make produk itu boong ya
89,@enirohaya7342,Gapapa makan itu juga yang penting kita bukan orang Israel
90,@310782100,Kok ambil kecap ABC? Bukannya ABC grupnya Heinz yang dukung Zionist juga? 🤔
91,@user-ob7hn3ue2r,😂😂😂 aneh
92,@WayanMahendra-mk6fe,Iserael dihati
93,@WayanMahendra-mk6fe,Sok tau
94,@mahfutcs,Aku dukung Israel ❤❤
95,@user-dm7mw6stu,Apasih orang israel yang ikutin produk indonesia dasar mangkanya cari di google lama lama pabriknya bangkrut dah gara gara ini ga boleh itu gak boleh
96,@Lego.yogi.dan.rehan.lego.,Akua itu indo jing
97,@Lego.yogi.dan.rehan.lego.,Dih emang eya😂
98,@yulindasari5133,Seberna israel itu nge kopy produk indo 👇Yang setuji
99,@AsepNovika-cu4rh,Katanya halal dancok
100,@adiriadi3210,"Masa pabrik makanan,minumannya ditutup sama penarikan produk dari negara kita kan kasian pemilik pabrik"
101,@imranrsaharaii9651,Aku gak tau kalok Oreo termasuk produk Israel padahal Oreo kesukaan ku 😭😭😭😭😔😔😔😔
102,@salmanFcra-nc8bl,up up up
103,@pandugamer1700,Kalau di boikot kita makan apa
105,@GABBY_CHANNEL275,Semua barang itu sama aja jangan pillih pilih
106,@gianico.pmarbun5976,Kenapa sih kita harus beli produk bukan dari Israel........................... Emg ap masalah ny mana mungkin itu dikasih barang berbahaya ......... Lagi pula itu produk nya dari pabrik Indonesia kn
107,@Pria_berpeci01,Itu hoax produk produk itu tidak boykot Israel
108,@mikemargasaputra3917,Goblok
109,@galanganggar5370,Bg 😂 tapi itu ada pabrik nya ada di indonesia😂😂😂
110,@user-zf7yc6yx7z,😅😢Gogo palestina
112,@user-zf7yc6yx7z,Gakpapa kalau gak bela dia atau suka dia yang pen Ting bela palestina🇵🇸
113,@agusyulianto391,Ini semua itu hoaxxxxxxxxxxxxx jangan percaya sama video ini
114,@agusharri4872,Tolol
115,@Org_random741,Terus gw minum pake apa Aqua dilarang Ada nya juga air aqua dirumah Apakah ini waktu gw minum air sumur?
116,@dedehkomalasari3922,Kak itu sama aja abc juga
117,@Batra29,Abc gak termasuk kk
118,@AndiAndi-jh2gv,yang jual itu orang indonesia berarti halal kan. bukan israel yang jual apa hubungannya?
119,@SteveMc51,Abc bukannya jg gaboleh?
120,@sutarnimitromiyar8449,😢🇵🇸🇵🇸🤲
121,@Nnsbent,le mineral sama sama produk isroel
122,@KeenanAlghafani345,Kak ABC gk boleh cmn ngasih tau🙂
123,@Sarah-bc6jw,Scarlet dan grab boikot
124,@namirafauzia1384,"yg sharusnya d boikot tuh bukan produk yahudi,, namun sifat yahudi yg ada pada diri kita..,🙏"
125,@galihfajar7730,Hape atau kamera yg dipake buat konten ini kenapa ga dibuang .... semua produk hape n elektronik ada bagian dari israel juga.... bahkan medsos yg besar2 kaya ini juga bagian dari israel.... boikot juga atuh....
126,@Aishwavivo,Alhamdulillah dampak boikot terhadap produk pendukung yahudi sudah ada dampaknnya..
127,@user-vg1vw7me6c,cari yg halal
128,@user-mc1sh3km8h,hp yang di gunakan merekam video ini merk apa ya ?
129,@user-yy3xe4rs8t,Kagatau
131,@arieberbieahmad1986,"Kalau ada yg belum tahu,maksudnya gini,itu kan katanya barang israel?nah bukan berrti barang itu di kirim dari israel,barang itu barang indonesia juga,pabriknya juga di indonesia,kenapa barang2 itu di sebut barang2 israel?karena barang2 tersebut sebagian bekerjasama dgn org2 israel,sebut saja org israel menanam saham di perusahaan barang2 tersebut"
132,@kartikarahayu2165,Oooohhh itu ternyata.....🤭
133,@FeHns,"Giliran media sosial kalian gak boikot, upssss tpi klo d boikot kalian para conten creator ini gak cuan🤭🤭🤭🤭🤭"
134,@berusahakita5068,Aku GK mau lagi beli produk Israel jahanam
135,@puriaja88,aku tetap cinta produk luar
136,@adnyanisiwi8785,"Klo produknya dr luar alias impor sah sah aja tp klo pabriknya di indo nesia yg nyari mkn org indonesia apa mau motong pencarian nafkah orang orang tersebut, emang ga ada cara lain kah??"
137,@rinohadiprojo2268,"Padahal kecap abc malah udah jelas produk dari heins US, 😅"
138,@user-ur1hn6jk5j,produk haram 🤣 zionis israel ganti produk indonesia 🇮🇩❤
139,@fidelisjoash,itu cuma beli cabang nya di Israel tapi itu yg buat orang Indonesia kalo itu di baikot orang Indonesia rugi nanti yg kerja di pabrik g di gaji karena g laku lu jangan kaya gitu kasian yg kerja di pabrik
140,@cahyono35,Orang2 bego
141,@cahaya_mega,"jangan membantu Israel yahudi yang sedang menjajah Islam,palestina, jika kita membeli produk mereka maka mereka mendapat keuntungan menambah modal untuk menjajah ,"
142,@vegadio1924,Taek
143,@JELLYSEVEN153,yang penting kata ibu gw juga ada logo halalnya
144,@adieprayoga7186,"Boikot"" taik lahh......."
145,@jimykabnani4049,Konten bodoh
146,@ridwanethed7985,Emang itu buatan Israel ya???
147,@begorosominiaturexcavator5827,"Tp knpa y,israel yg notabene negara kecil,tp bsa mnguasai produk2 yg notbane kbtuhan manusia,sampai d export d negara2 yg jauh lbh besar drinya. Pelajari kejeniusannya Jangan tiru sifat buruknya"
148,@bayurocky1326,"Perusahaan yg support Israel tidak hanya Unilever tapi ada juga Danone, Nestle, L\'oreal itu semua banyak produk turunannya di Indonesia, tinggal cek aja klw ada nama perusahaan itu dibungkusnya"
149,@user-cb8bc4ch8b,"ABC Heinz orang tua grup, bukan pro Israel ya. Koreksi klo salah"
150,@sandryaroma6477,"Susah sih mau boikot gimana pun, sebab kalau air dari aqua ganti ke leminerale emang bagus, tapi saya yang pengguna leminerale dari dulu sekarang tiba² sudah lebih dari 2 minggu produknya kosong yang galon, sebab barang habis sebelum sampai terutama wilayah DI Yogyakarta, alhasil mau gak mau beli Aqua, tolong dong pihak leminerale tingkatkan kuantitas produknya"
151,@majidkobat8429,"Pabrikny d Indonesia d boikot karyawan ngelunjak mnta pekerjaan, dasar bodoh minimal beragama pake otak gk pake nafsu😂, emng jualan isu palestina israel paling laris"
152,@majidkobat8429,Boikot2 trus gk inget Instragram YouTube jg iya 😂
153,@yuliusyuliustandisambeanig7786,boikot boikot emang lu pikir negara ini makmur buktinya banyak orang susah cari kerja
154,@sonnieragielta6356,Mending admin suruh liat podcast deddy corbuzer ..biar cerdas ...!!
155,@vlogAdi-ru8bw,yang penting halal kok
156,@acsoccer3157,Membela palestina tapi membuat menderita saudara sebangsa terutama para UMKM😢
157,@rahmath.5629,Jepang kan pro Yahudi juga kan
159,@anisaja849,Boikot juga google biar kalian juga mampus sendiri orang kok pada sok Sok an
160,@Pendekar1926,"Entah kenapa saya rasa sistem aturan kepemerintahan sudah bobrok,,, Mereka mengatakan boikot tapi Tetap menampung produk import dari luar😢#Miris"
161,@user-bz7kq2yc8e,Baikot tau embargo Di Indonesia
162,@AnonymITOps,usaha semampumu membantu palestina meskipu hanya seribu tinggal milih bantu Zionist atau free palestine... gausah jauh2 mikir pabrik tutup karyawan pecat atau apalah semua demi palestina... sekali lagi mau belanja dan mengalirkan untuk zionist??? lagian ada alternatif produk lokal ngapain ga didukung... #baikotproisrahell
163,@Bazzer953,Gua mah kagak peduli
164,@TengkuHendra-wi4th,Serba salah memang.maka kita bangsa indonesia harus berpikir lagi
165,@rian132ful,Senjata kita juga bisa dari produk2 itu. Di dunia yg udah terlanjur mengglobal ini semua terkoneksi
166,@ndanbos,"Yg jelas unilever nggak bisa bs,"
167,@Fikrianayah_Ab,"Setidaknya allah tau kita dipihak mana,kalau sekedar boikot aja ngeluh gimana mau jihad,mereka di palestina sana nyawa seperti gak ada harganya, barang jenis yang sama ada banyak merek yg berbeda kenapa sulit sekali sepertinya, apa udah gk punya hati lagi."
168,@TehnicDIYelectro,Sebelum nya di pakai sama yang ngerekan sebelum boikot napa di boikot ama dia sendiri😂😂😂😂 padahal sendirinya pernah pakai
169,@KriegMarines,Kalo mau Boikot ini banyak tantangan Nya Mang Kalo misalnya Kita larang produk Israel ini masuk indo Takutnya Malah Berdapampak ke ekonomi indonesia Yang membuat banyak Pekerja Menjadi Pengangguran Dan Lapangan kerja makin Sempit Yang ada Kita Mau dukung palestina Malah kita Yang Diambang Krisis dan juga Kalo mau Boikot Jan beli produk nya aja Bukan Kek Lu pesen Dah starbak 50 Pcs Terus lu gk mau bayar Yng Ada Itu malah nyusahin Saudara sebangsa kita sendiri yang menangung nya Ya pegawai nya Jadi jangan Sampai ada kek gitu
170,@user-lu1kh7ti1h,Emang gua pikirin😂😂😂😂yg penting
171,@hondajabodetabek5455,"Gak malu teriak boikot tp msh youtube an,,msh pke internet,,munafik LOL😂😂"
172,@MichaelMartuah-ni4vw,Palestina hancur
173,@dakwahislam2013,Berita palsu mui tidak pernah memberi list produk boikot
174,@nadyaaaaaaa17,Mmmmmm aku ada denger klo itu semua hoaks kyk klo salah maaf ya
175,@nana_rodiana,"Tapi mohon maaf sebelumnya bukan saya tidak berpihak pada palestina, tapi saya membeli apapun yang sedang promo😁 tak memandang produk nya berasal darimana , saya hanya mencari selagi ada harga yg lebih murah kenapa tidak🙏🏻"
176,@VitoWarsito-lj6qh,konten tolol ini sih namanya
177,@nuncydewi8080,Maaf kalo produk abc juga boikot
178,@aktordrift48,Setahu gw aqua produk dr italy dh
