id,author,description,clean
1784,@muslim_itu_tolol_sekali,SOK TAHU .... SEBAGIAN BESAR SAHAM PRODUK INI DIMILIKI SAMA ORANG INDONESIA . BAHKAN DENGAN BILANG PRODUK PRODUK MEREKA ADALAH PRODUK ISRAEL SAMA AJA MEMNFITNAH BURUH BURUH MUSLIM INDONESIA YANG BERKERINGAT UNTUK MEMBUAT PRODUK TERSEBUT,sok tahu sebagian besar saham produk ini dimiliki sama orang indonesia bahkan dengan bilang produk produk mereka adalah produk israel sama aja memnfitnah buruh buruh muslim indonesia yang berkeringat untuk membuat produk tersebut
1785,@zulfizulfikar5871,Bentar lagi bertambah PHK di mana mana,bentar lagi bertambah phk di mana mana
1786,@Petanipride19,"IG dan fb, berapa % masuk israel😂😂",ig dan fb berapa masuk israel
1787,@bumidatar2timur2barat70,Ketololan demi ketololan lagi masa iya masako buatan israel hahahaha orang kalo hatinya dipenuhi dng setan apa aja dilakukan makanya belajarlah dari guru yg benar hajahah,ketololan demi ketololan lagi masa iya masako buatan israel hahahaha orang kalo hatinya dipenuhi dng setan apa aja dilakukan makanya belajarlah dari guru yg benar hajahah
1788,@yuyun9450,Berarti sekarang ganti air minum... ok le mineral,berarti sekarang ganti air minum ok le mineral
1789,@tumusnyipto9531,Google YouTube boikot dong jangan buat video .....,google youtube boikot dong jangan buat video
1790,@finmamad8693,Semoga yg diboikot semakin murah meriah harganya obral,semoga yg diboikot semakin murah meriah harganya obral
1791,@user-zv6yc5mf4w,di mana ada Belian kencing onta,di mana ada belian kencing onta
1792,@user-pg6dc4bt2v,Gaje makan pun di permasalah kan,gaje makan pun di permasalah kan
1793,@ArifMahendra-fv5co,"Ud di haramkan MUI , masih mau yang haram !??",ud di haramkan mui masih mau yang haram
1794,@firnandaputra5669,Woe jangan hoax,woe jangan hoax
1795,@ApologetMurtadin,Kesempatan marketing lawan dagangnya buat bikin konten beginian. Lu pikir yg kerja disana orang Israel?,kesempatan marketing lawan dagangnya buat bikin konten beginian lu pikir yg kerja disana orang israel
1796,@joane_lee,bukannya kecap ABC juga termasuk ya?,bukannya kecap abc juga termasuk ya
1797,@no_name_official,Luh itu cuma nipu kita semua,luh itu cuma nipu kita semua
1798,@dhiemasbagusp7621,harus nya dari dulu lah.. knapa baru sekarang.. kasian pedagang2 yg udh nyetock tu barang.. dan juga sales2 barang tersebut..,harus nya dari dulu lah knapa baru sekarang kasian pedagang yg udh nyetock tu barang dan juga sales barang tersebut
1799,@AndiRigan,Terimakasih.. Saat nya beli (murah) ..jual (mahal). Kepala nya hanya sesak .. Kaki dibawah hangus.. Yg hangus tak mngkin kembali,terimakasih saat nya beli murah jual mahal kepala nya hanya sesak kaki dibawah hangus yg hangus tak mngkin kembali
1800,@ajibfirman3757,Salah ini mah,salah ini mah
1801,@mbeladusofficial5248,boikot produk israel,boikot produk israel
1802,@Gchanel-ng3rf,asal pake otak sah2 aja sih.tapi pake otak ya,asal pake otak sah aja sihtapi pake otak ya
1803,@akugaming7613,"Trus youtube,fp,dan medsos lainnya gimana,kan prosuk yahudi sama mamarika😂😂😂😂",trus youtubefpdan medsos lainnya gimanakan prosuk yahudi sama mamarika
1804,@user-rp1pv3dd3q,Indomaret alfamart knp masih jual produk barat😂😂😂😂,indomaret alfamart knp masih jual produk barat
1805,@kang-keeychannel3677,"Ehh kok boikot produk sih. Bukan ny sda ad selama ini. Dan kalian menikmati. Ini bukan masalah kecintaan ngra indonesaia atau bntuk dukungan trhdp palestina. Tapi coba kita pikir dan harus mengakui kalau israel hebat buktinya bnyak produk yang masuk di negara kita, bnyak sekali bahkan . Hebat bukan?",ehh kok boikot produk sih bukan ny sda ad selama ini dan kalian menikmati ini bukan masalah kecintaan ngra indonesaia atau bntuk dukungan trhdp palestina tapi coba kita pikir dan harus mengakui kalau israel hebat buktinya bnyak produk yang masuk di negara kita bnyak sekali bahkan hebat bukan
1806,@agusjaki4610,Semakin cerdas masyarakat kita,semakin cerdas masyarakat kita
1807,@agusyono2059,Jangan sampai mendukung Teroris Zionis Israel. Dengan tidak membeli produknya dan yang mendukungnya.....,jangan sampai mendukung teroris zionis israel dengan tidak membeli produknya dan yang mendukungnya
1808,@rnb2445,"Boikot itu produk yg mau masuk yg udh terlanjur di swalayan ya biarin aja,klo stok udh abis jangan jual lg produk itu lol klo boikot yg di toko warung dll",boikot itu produk yg mau masuk yg udh terlanjur di swalayan ya biarin ajaklo stok udh abis jangan jual lg produk itu lol klo boikot yg di toko warung dll
1809,@grabmarbun4065,Boikot tapi ajakan boikot di sebarin dgn produk negara yg d boikot jg.menghujat tapi alat menghujat nta produk negara yg d boikot jg. Bodoh saya masih maklum tapi klau udh saudara nya su bodoh itu hanya ada d kaum munafik 😂😂 Masih bisa mikir ga sih?,boikot tapi ajakan boikot di sebarin dgn produk negara yg boikot jgmenghujat tapi alat menghujat nta produk negara yg boikot jg bodoh saya masih maklum tapi klau udh saudara nya su bodoh itu hanya ada kaum munafik masih bisa mikir ga sih
1810,@mommy6943,Boikot. Akan. Berjalan. Bila. Produk tidak. Di. Pajang. Di. Toko.. semangat. Kita. Bantu. Saudara kita di Palestina,boikot akan berjalan bila produk tidak di pajang di toko semangat kita bantu saudara kita di palestina
1811,@user-iu3yr9fq9o,Kasihan tokoh2 dan warung kalo kayak gini bakal berjamur semua kalo kayak gini,kasihan tokoh dan warung kalo kayak gini bakal berjamur semua kalo kayak gini
1812,@salsabilasalsa6500,Saya sangat setuju boikot semua produk israel dan amerika tapi kita sudah dikepung produk mereka. Mulai mau tidur sampai bangun tidur semuanya produk mereka.,saya sangat setuju boikot semua produk israel dan amerika tapi kita sudah dikepung produk mereka mulai mau tidur sampai bangun tidur semuanya produk mereka
1813,@wahyusetiobudi3094,"Oten oten Indonesia bela Israel, pro anti kemanusiaan",oten oten indonesia bela israel pro anti kemanusiaan
1814,@deni_barber21,Memajukan produk dlm negri negri kita akan semakin kaya . Alhamdulillah .bgini menghargai produk dlm negri .,memajukan produk dlm negri negri kita akan semakin kaya alhamdulillah bgini menghargai produk dlm negri
1815,@muslim_itu_tolol_sekali,"AQUA , SARIWANGI ITU PRODUK INDONESIA",aqua sariwangi itu produk indonesia
1816,@edidjunaedi5504,"Produk Israel/bangsa Yahudi YouTube,Facebook,google,menyerukan boikot tapi menyerukan nya pakai produk Yahudi oon",produk israelbangsa yahudi youtubefacebookgooglemenyerukan boikot tapi menyerukan nya pakai produk yahudi oon
1817,@mohfawaidfawaidmoh213,Sariwangi ??,sariwangi
1818,@user-mu6km1rw7q,All product Unil,all product unil
1819,@lerr5187,Israel mati aja babi,israel mati aja babi
1820,@jembut341,"bukan begni juga bro ,, tapi semua barang halal ini kirimkan ke palestine untuk biaya kehidupan masyarakat palestine.",bukan begni juga bro tapi semua barang halal ini kirimkan ke palestine untuk biaya kehidupan masyarakat palestine
1821,@wasneliwasneli9357,Cintailah produk produk Indonesia boikot produk zionis Israel laknat.,cintailah produk produk indonesia boikot produk zionis israel laknat
1822,@sudaryono6118,Boikot produk israel,boikot produk israel
1823,@cintarachel6021,Ngakak😅,ngakak
1824,@nafatulafwani1218,Kalau mau baikot jgn tangung2 bukan dari itu aja peroduk Israel ...contoh yg kalian Pegang itu peroduk yg pintar dari Israel .hp.lettop.mobil .baju .celana dan masih banyak,kalau mau baikot jgn tangung bukan dari itu aja peroduk israel contoh yg kalian pegang itu peroduk yg pintar dari israel hplettopmobil baju celana dan masih banyak
1825,@pohonjati25,"Jangan pake komputer jangan buka sosial media lagi munafik, boikot setengah setengah",jangan pake komputer jangan buka sosial media lagi munafik boikot setengah setengah
1826,@aldoherdyan4198,Makasih banyak min,makasih banyak min
1827,@bolodbudeg6131,Zionis emang bangsat kalau bisa beneran pingin ikut perang ke Palestina,zionis emang bangsat kalau bisa beneran pingin ikut perang ke palestina
1828,@plestik1234,Sales beda produk.. Biar yg lain nggak laku.,sales beda produk biar yg lain nggak laku
1829,@yudibintangbiru5274,"Lumayan lho.. dri bbrpa negara di dunia dengan memboikoT merk"" tertentu dg bbrp mggu ini, 1zr43L jdi inplasi 6%. Bismillah.. ttep istiqomah.🙏",lumayan lho dri bbrpa negara di dunia dengan memboikot merk tertentu dg bbrp mggu ini zr jdi inplasi bismillah ttep istiqomah
1830,@mirwan9071,selain daftar barang yang perlu di bikot. buat pula daftar barang yang tak dibikot bira masyaratkat bisa tetap hidup memakai barang halalan toyibah. free palestina.,selain daftar barang yang perlu di bikot buat pula daftar barang yang tak dibikot bira masyaratkat bisa tetap hidup memakai barang halalan toyibah free palestina
1831,@CallystaChaira,Sambal ABC nggak boleh,sambal abc nggak boleh
1832,@user-sm9je5nc6z,Gak pernah mikirin ya.... 99% semua karyawan di indonesia Beragama islam... ??? Ibaratnya begini. Bukankah kalau ada Anjing atau Babi dalam keadaan sekarat wajib menolong padahal jelas jelas haram. Menurut saya jangan pernah boikot barang barang tersebut yg jelas makanan atau produk tersebut halal. ... Yg harus di boikot itu kerjasamanya mereka dengan israel.harus di hentikan.kalau benar benar product tersebut dari Israel...,gak pernah mikirin ya semua karyawan di indonesia beragama islam ibaratnya begini bukankah kalau ada anjing atau babi dalam keadaan sekarat wajib menolong padahal jelas jelas haram menurut saya jangan pernah boikot barang barang tersebut yg jelas makanan atau produk tersebut halal yg harus di boikot itu kerjasamanya mereka dengan israelharus di hentikankalau benar benar product tersebut dari israel
1833,@rommyisrawanfananny908,"Boikot2 noh kesian kang warung , kalo ma boikot ya pemerintah lah suruh boikot bukan kita",boikot noh kesian kang warung kalo ma boikot ya pemerintah lah suruh boikot bukan kita
1834,@enka661,"Hp mu produk pendukung Israel juga loh bang 😂, ytb, fb, listrik nanti google mematikan sistem untuk Indonesia baru tau rasa loh...",hp mu produk pendukung israel juga loh bang ytb fb listrik nanti google mematikan sistem untuk indonesia baru tau rasa loh
1836,@agsm137,Bodo amat,bodo amat
1837,@galihwijaya-bf8mr,Gasskeun,gasskeun
1838,@wahyuyudi3641,klu bisa smua produk israel di stiap toserba2 indomaret2 smua tmpat perbelanjaan d sita  d kumpul kan jadi 1 lalu d bakar  d saksikan banyak masyarakat,klu bisa smua produk israel di stiap toserba indomaret smua tmpat perbelanjaan sita kumpul kan jadi lalu bakar saksikan banyak masyarakat
1839,@Slow_Aja_BossQ,Fanatik yg berlebihan. Ironis!,fanatik yg berlebihan ironis
1840,@galihwijaya-bf8mr,"kalo gak cinta palestin atau islam anda hanya KTP (klo islam), setidaknya ini tentang manusiawi! Penduduk sipil anak, ibu, yg sudah tua semua dibantai dengan kejam.. jadi apa susah nya mendukung dengan doa dan tidak membeli produk israel?? Hati anda masih berfungsi kah? udh mati ya hatinya?",kalo gak cinta palestin atau islam anda hanya ktp klo islam setidaknya ini tentang manusiawi penduduk sipil anak ibu yg sudah tua semua dibantai dengan kejam jadi apa susah nya mendukung dengan doa dan tidak membeli produk israel hati anda masih berfungsi kah udh mati ya hatinya
1841,@sijeunniteumearohaarmy3912,Bukannya ABC juga pro 15r43l ya?,bukannya abc juga pro ya
1842,@adudu9436,Bahan mrk jgn di samakan dg prilaku mrk...Alloh tak suka buang rejki yg Alloh ksh,bahan mrk jgn di samakan dg prilaku mrkalloh tak suka buang rejki yg alloh ksh
1843,@arifnabil9181,Paling gak lama..nanti juga di beli lagi😅.hp ny ganti dong jangan pakai android..kan android buatan israel juga 😂,paling gak lamananti juga di beli lagi hp ny ganti dong jangan pakai androidkan android buatan israel juga
1844,@kuswantosuratj8827,"Saya sudah mulai beralih membeli producknya,,cuma masih kurang paham secara keseluruhan",saya sudah mulai beralih membeli producknyacuma masih kurang paham secara keseluruhan
1845,@bayucristianto7328,karyawan pabrik yang produksi barang² itu apa gak kena dampak. sok²an boikot lu ah😂,karyawan pabrik yang produksi barang itu apa gak kena dampak sok an boikot lu ah
1846,@shintayulyanti2931,Tttapi gimana kalo ada PHK massal 🥺 kan pabriknya di indonesia semua😢,tttapi gimana kalo ada phk massal kan pabriknya di indonesia semua
1847,@pacintabaka5853,Galon yg pertama di pegang itu merek apa?,galon yg pertama di pegang itu merek apa
1848,@ekosiswanto7297,kalo bukan kita lalu siapa lagi,kalo bukan kita lalu siapa lagi
1849,@classicmens9007,"Mereka serang tangan kiri ,kt kasih tangan kanan . Mereka serang mata kiri ,kt kasih mata kanan. Jgn lah saling membenci apalagi memboikot ,Toh WhatsApp, Facebook,Google asalnya dari ISRAEL",mereka serang tangan kiri kt kasih tangan kanan mereka serang mata kiri kt kasih mata kanan jgn lah saling membenci apalagi memboikot toh whatsapp facebookgoogle asalnya dari israel
1850,@classicmens9007,Bukannya torelansi tapi malah membenci satu sama lain,bukannya torelansi tapi malah membenci satu sama lain
1851,@acim_Barber,Indonesia yang jngn kasih masuk produk Luar..Kalo sudah ada diIndonesia otomatis ya harus dibeli biar laku untuk ngabisin barang yang ada..,indonesia yang jngn kasih masuk produk luarkalo sudah ada diindonesia otomatis ya harus dibeli biar laku untuk ngabisin barang yang ada
1852,@dadandarmadi9589,bagus umkm kita naik negara kita bakal maju,bagus umkm kita naik negara kita bakal maju
1853,@ayamhauche4757,Iklan gratis😊,iklan gratis
1854,@hendraeen5149,"😊 produk Israel jangan d pajang simpan d gudang biar gak laku,",produk israel jangan pajang simpan gudang biar gak laku
1855,@rendypitono3544,Emang itu made in israel ya,emang itu made in israel ya
1856,@hildagardis4142,"Klo cuma di indonesia doank yg ga beli dn ga jual org israel ga akan rugi.. produk² itu udh tresebar di seluruh dunia. Lagian kenapa sih?? Kalian ga kasian karyawan2 yg kerja di perusahaan mrka, nti klo mrka di PHK apakah pihak MUI siap menampung dr sebagian banyak org yg ga punya lapangan pekerjaan?? Nti ekonomi indonesia makin sulitt klo cara brpikir nya bgni, mao cari duit dmna lg org indonesia?? Ga liat apa banyak TKW dn TKI yg prgi ke negara asing klo mrka jg di usir dr sana gmna?? apa MUI jg siap menampung mrk dn memberi makan buat keluarga nya jg? Tolong lah indonesia yg cerdas sedikit cara brpkir nya klo kita aja masih membutuh kan lapangan pekerjaan dr mrka jg buat kebutuhan hidup😂 skrg aja banyak pengangguran mao jd apa negara ini nti.. cerdas lah dalam berpikir!!",klo cuma di indonesia doank yg ga beli dn ga jual org israel ga akan rugi produk itu udh tresebar di seluruh dunia lagian kenapa sih kalian ga kasian karyawan yg kerja di perusahaan mrka nti klo mrka di phk apakah pihak mui siap menampung dr sebagian banyak org yg ga punya lapangan pekerjaan nti ekonomi indonesia makin sulitt klo cara brpikir nya bgni mao cari duit dmna lg org indonesia ga liat apa banyak tkw dn tki yg prgi ke negara asing klo mrka jg di usir dr sana gmna apa mui jg siap menampung mrk dn memberi makan buat keluarga nya jg tolong lah indonesia yg cerdas sedikit cara brpkir nya klo kita aja masih membutuh kan lapangan pekerjaan dr mrka jg buat kebutuhan hidup skrg aja banyak pengangguran mao jd apa negara ini nti cerdas lah dalam berpikir
1857,@miloluna7817,"Keren.. Yuk bisa yuk, jangaan lagi menggunakan HP dgn sistem android apapun merknya karna android buatan yahudi, iphone pendukung israel, bisa yuk jangan lagi pake komputer, software windows IOS, photoshop, dll buatan pendukung Israel. Yuk bisa yuk motor  mobil buatan jepang  eropa semua produk2 jepang sampai alat berat, karna jelas mendukung Israel, bisa yuk jangan naik peswat lagi karna produk buatan pendukung Israel. Kita naik getek aja yuk bisa yuk.",keren yuk bisa yuk jangaan lagi menggunakan hp dgn sistem android apapun merknya karna android buatan yahudi iphone pendukung israel bisa yuk jangan lagi pake komputer software windows ios photoshop dll buatan pendukung israel yuk bisa yuk motor mobil buatan jepang eropa semua produk jepang sampai alat berat karna jelas mendukung israel bisa yuk jangan naik peswat lagi karna produk buatan pendukung israel kita naik getek aja yuk bisa yuk
1858,@adikojor2828,"Pda tolol sh maen boikot,,klo emng mau,,jual dlu nah udh habis uang ny donasiin ke Palestina,dri situ jngan beli lgi produk itu,,,klo bgini siap"" bnyak yg nganggur di Indonesia",pda tolol sh maen boikotklo emng maujual dlu nah udh habis uang ny donasiin ke palestinadri situ jngan beli lgi produk ituklo bgini siap bnyak yg nganggur di indonesia
1859,@julihartono2747,"Rame-rame boikot produk, tapi masih pakai YouTube, Instagram, WhatsApp dan FB.",ramerame boikot produk tapi masih pakai youtube instagram whatsapp dan fb
