id,author,description,clean
1860,@rudirudi6435,"Sebaiknya hindari sebisa mungkin.,agar kita tidak menanggung dosanya",sebaiknya hindari sebisa mungkinagar kita tidak menanggung dosanya
1861,@wisnuwidodo9122,"Boikot pula produk kendaraan dr Amerika , inggris , Kita harus tau bahwa sistem politik zionis itu kembaran VOC , setelah mereka besar mereka merampok dan membantai pribumi ... Pendana zionis sampai menjadi pembuat alat canggih Krn Israel anak Amerika Serikat ,",boikot pula produk kendaraan dr amerika inggris kita harus tau bahwa sistem politik zionis itu kembaran voc setelah mereka besar mereka merampok dan membantai pribumi pendana zionis sampai menjadi pembuat alat canggih krn israel anak amerika serikat
1862,@dodougetxx9406,"Pertinyiinnyi,israel udah jajah palestina dari duluuuuu banget dan merk2 itu juga udah dari dulu ada,kenapa baru sekarang boikot?",pertinyiinnyiisrael udah jajah palestina dari duluuuuu banget dan merk itu juga udah dari dulu adakenapa baru sekarang boikot
1863,@TitaTeza,"Banyak sekali prodak nya, yg kita pakai sehari2",banyak sekali prodak nya yg kita pakai sehari
1864,@wisnuwidodo9122,"Semua org Indonesia saya himbau agar MENELUSURI PERUSAHAAN"" EROPA DAN AMERIKA YG MASUK D INDO , BEKICOTT SEMUA EH BOIKOT SEMUA , KARENA TIAP PENGUSAHA EROPA DAN AMERIKA MENYJMBANGKAN DANA UTK KEHIDUPAN ORG ISRAEL UTK PERSENJATAAN ISRAEL UTK MEMBANGUN POLITIK ZIONIS YG INGIN MENJAJAH PALESTINA , MEREKA BERNIAT MEMBINASAKAN ORG"" PALESTINA ... MARI BERGERAK SESUAI KEMAMPUAN UTK MEMBANTU PALESTINA , INDONESIA G BISA KIRIM PASUKAN PERANG KRN INDONESIA MASUK D UNIFIL PBB PERDAMAIAN DUNIA ,JD TIDAK BOLEH MEMIHAK NEGARA YG BERPERANG , HARUS MENDAMAIKAN ...",semua org indonesia saya himbau agar menelusuri perusahaan eropa dan amerika yg masuk indo bekicott semua eh boikot semua karena tiap pengusaha eropa dan amerika menyjmbangkan dana utk kehidupan org israel utk persenjataan israel utk membangun politik zionis yg ingin menjajah palestina mereka berniat membinasakan org palestina mari bergerak sesuai kemampuan utk membantu palestina indonesia bisa kirim pasukan perang krn indonesia masuk unifil pbb perdamaian dunia jd tidak boleh memihak negara yg berperang harus mendamaikan
1865,@penting_yakinn,Bukannya PT/pabriknya di Indonesia semua ya?,bukannya ptpabriknya di indonesia semua ya
1866,@ghafararya,Syukur aq tak ada pake produk itu,syukur aq tak ada pake produk itu
1867,@arulmajesaa,Klo Indomilk itu produk dri israel jga bkn?,klo indomilk itu produk dri israel jga bkn
1868,@sofiyafakih4798,"Terima kasih untuk videonya, bikin yg lebih banyak lagi video kyk gini untuk jenis produk lain yg harus diboikot dan alternatifnya yg bisa kita pilih.",terima kasih untuk videonya bikin yg lebih banyak lagi video kyk gini untuk jenis produk lain yg harus diboikot dan alternatifnya yg bisa kita pilih
1869,@jrx2464,Trus ini YouTube buatan siapa😂,trus ini youtube buatan siapa
